,Unnamed: 0.1,Unnamed: 0,dataset,rse_id,DTier,size_on_tape_[TB],category
593,776,776,/W3JetsToLNu_NuPt-200_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,11.20099,Run 2 pre-legacy MC
602,791,791,/MuOnia/Run2017C-17Nov2017-v1/AOD,T0_CH_CERN_Tape,AOD,10.82679,Run 2 pre-legacy data
603,792,792,/HIZeroBias3/Run2017G-17Nov2017-v1/AOD,T0_CH_CERN_Tape,AOD,10.7929,Run 2 pre-legacy data
604,793,793,/HIZeroBias9/Run2017G-17Nov2017-v1/AOD,T0_CH_CERN_Tape,AOD,10.76602,Run 2 pre-legacy data
605,794,794,/HIZeroBias2/Run2017G-17Nov2017-v1/AOD,T0_CH_CERN_Tape,AOD,10.75991,Run 2 pre-legacy data
606,795,795,/HIZeroBias11/Run2017G-17Nov2017-v1/AOD,T0_CH_CERN_Tape,AOD,10.75891,Run 2 pre-legacy data
607,796,796,/HIZeroBias5/Run2017G-17Nov2017-v1/AOD,T0_CH_CERN_Tape,AOD,10.75594,Run 2 pre-legacy data
608,797,797,/HIZeroBias10/Run2017G-17Nov2017-v1/AOD,T0_CH_CERN_Tape,AOD,10.75438,Run 2 pre-legacy data
609,798,798,/HIZeroBias6/Run2017G-17Nov2017-v1/AOD,T0_CH_CERN_Tape,AOD,10.75304,Run 2 pre-legacy data
610,799,799,/HIZeroBias12/Run2017G-17Nov2017-v1/AOD,T0_CH_CERN_Tape,AOD,10.75271,Run 2 pre-legacy data
611,800,800,/HIZeroBias1/Run2017G-17Nov2017-v1/AOD,T0_CH_CERN_Tape,AOD,10.75155,Run 2 pre-legacy data
612,801,801,/HIZeroBias4/Run2017G-17Nov2017-v1/AOD,T0_CH_CERN_Tape,AOD,10.74262,Run 2 pre-legacy data
