Unnamed: 0.1,Unnamed: 0,dataset,rse_id,DTier,size_on_tape_[TB],category
12597,12597,/GluGluToHToZZTo2L2Q_M-575_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.0816,DPOA
12634,12634,/GluGluToHToZZTo2L2Q_M-475_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.08113,DPOA
12661,12661,/GluGluToHToZZTo2L2Q_M-500_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.08072,DPOA
12694,12694,/GluGluToHToZZTo2L2Q_M-400_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.08047,DPOA
12787,12787,/GluGluToHToZZTo2L2Q_M-550_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07916,DPOA
12802,12802,/Cosmics/Run2015A-01Mar2016-v1/AOD,T0_CH_CERN_Tape,AOD,0.07896,DPOA
12820,12820,/GluGluToHToZZTo2L2Q_M-600_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07879,DPOA
12834,12834,/GluGluToHToZZTo2L2Q_M-525_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07865,DPOA
12836,12836,/GluGluToHToZZTo2L2Q_M-450_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07864,DPOA
12908,12908,/GluGluToHToZZTo2L2Q_M-350_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07791,DPOA
